Format Version,1.23,Take Name,team6_final_trial_005,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 10.43.42.219 AM,Total Frames in Take,11292,Total Exported Frames,11292,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
27,0.075000,-0.028592,0.006220,0.003930,-0.999564,1.779627,1.047051,4.035668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873191,1.050668,4.065344,1.785539,1.048729,3.990290,1.680450,1.044600,4.051355
28,0.077778,-0.026363,0.004576,0.004647,-0.999631,1.779765,1.046220,4.035159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873899,1.047018,4.064304,1.785859,1.046836,3.989645,1.680492,1.044714,4.051404
29,0.080556,-0.027768,0.005095,0.001304,-0.999601,1.779586,1.046200,4.035106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.871918,1.048289,4.064813,1.785849,1.046898,3.989651,1.680480,1.041966,4.050944
30,0.083333,-0.034437,0.005774,0.001334,-0.999389,1.779783,1.046770,4.035255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873555,1.049417,4.064910,1.785846,1.046953,3.989624,1.680793,1.043363,4.050907
31,0.086111,-0.023909,0.005612,0.001534,-0.999697,1.779444,1.046448,4.035317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873207,1.050610,4.065311,1.785854,1.046949,3.989609,1.680192,1.043298,4.051394
32,0.088889,-0.029256,0.005138,0.002308,-0.999556,1.779517,1.046488,4.035210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873175,1.050606,4.065292,1.785329,1.048245,3.989823,1.680445,1.042289,4.050749
33,0.091667,-0.025520,0.005768,0.004035,-0.999650,1.779469,1.046982,4.035467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873216,1.050662,4.065292,1.785830,1.046858,3.989675,1.680464,1.044564,4.051338
34,0.094444,-0.022154,0.005773,0.003003,-0.999733,1.779695,1.046390,4.035206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873549,1.049306,4.064881,1.785848,1.046964,3.989649,1.680502,1.044554,4.051314
35,0.097222,-0.028118,0.004709,0.004312,-0.999584,1.779679,1.046379,4.035152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873417,1.047606,4.064495,1.785453,1.048010,3.989755,1.680484,1.044647,4.051323
36,0.100000,-0.028480,0.004965,0.003582,-0.999576,1.779805,1.046120,4.034980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873430,1.047505,4.064520,1.785848,1.046855,3.989701,1.680789,1.043376,4.050856
37,0.102778,-0.030217,0.004484,0.002000,-0.999531,1.779738,1.046027,4.035021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873443,1.047660,4.064518,1.785837,1.046971,3.989670,1.680489,1.042161,4.050738
38,0.105556,-0.025176,0.004893,0.002321,-0.999668,1.779548,1.046425,4.035253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873578,1.049367,4.064883,1.785846,1.046944,3.989666,1.680203,1.043288,4.051353
39,0.108333,-0.028175,0.005477,0.000550,-0.999588,1.779685,1.046222,4.035170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873585,1.049313,4.064867,1.785899,1.046966,3.989609,1.680533,1.042124,4.050790
