,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker3,right_reflector:Marker3,right_reflector:Marker3
,ID,"210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","CEDD0","CEDD0","CEDD0","CEAA0","CEAA0","CEAA0","CEAB0","CEAB0","CEAB0","CEA90","CEA90","CEA90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
40,0.111111,,,,,,,,-0.003156,0.001175,0.006104,-0.999976,3.318008,0.006300,0.956132,,,,3.303647,-0.000700,0.750602,3.478056,0.011100,0.931773,3.170433,0.007376,1.187291
41,0.113889,,,,,,,,-0.002451,0.001218,0.004079,-0.999988,3.318054,0.006737,0.955880,,,,3.303666,-0.000629,0.750544,3.478084,0.012151,0.931528,3.170456,0.007523,1.187405
42,0.116667,,,,,,,,-0.002423,0.000819,0.003547,-0.999991,3.318035,0.006653,0.955994,,,,3.303639,-0.000722,0.750454,3.477117,0.013356,0.931768,3.170542,0.007313,1.187298
43,0.119444,,,,,,,,-0.003308,0.001010,0.005781,-0.999977,3.317963,0.006337,0.956180,3.176407,0.007096,0.943023,3.304726,0.002798,0.748888,3.478000,0.011249,0.931771,3.170436,0.007325,1.187344
44,0.122222,,,,,,,,-0.002765,0.000781,0.004344,-0.999987,3.317914,0.006671,0.955994,3.176451,0.007020,0.942897,3.303620,-0.000650,0.750611,3.477925,0.012016,0.931506,3.170465,0.007389,1.187424
45,0.125000,,,,,,,,-0.000776,0.000129,0.001915,-0.999998,3.317496,0.006558,0.956070,3.176384,0.007152,0.942909,3.303667,-0.000586,0.750431,3.476072,0.013960,0.931510,3.170507,0.007371,1.187324
46,0.127778,,,,,,,,-0.002162,0.000513,0.003029,-0.999993,3.317764,0.006682,0.956139,,,,3.303675,-0.000569,0.750528,3.476820,0.013546,0.931979,3.170554,0.007304,1.187434
47,0.130556,,,,,,,,-0.002434,0.000743,0.003680,-0.999990,3.317963,0.006649,0.956013,3.176442,0.007074,0.942950,3.303639,-0.000667,0.750525,3.476989,0.013355,0.931792,3.170557,0.007335,1.187319
48,0.133333,,,,,,,,-0.002858,0.000601,0.004730,-0.999985,3.317894,0.006487,0.955878,3.176447,0.007152,0.942988,3.303575,-0.000730,0.750511,3.477901,0.011714,0.931333,3.170438,0.007445,1.187356
49,0.136111,,,,,,,,-0.001860,0.000437,0.002996,-0.999994,3.317721,0.006690,0.956071,,,,3.303550,-0.000531,0.750453,3.476886,0.013389,0.931824,3.170466,0.007432,1.187289
50,0.138889,,,,,,,,-0.002684,0.000828,0.004401,-0.999986,3.318001,0.006545,0.955975,3.176378,0.007084,0.942942,3.303664,-0.000589,0.750558,3.478015,0.011867,0.931501,3.170523,0.007365,1.187355
51,0.141667,,,,,,,,-0.002451,0.000846,0.003350,-0.999991,3.317938,0.006720,0.956072,3.176224,0.007391,0.942974,3.303610,-0.000706,0.750533,3.476846,0.013587,0.932025,3.170506,0.007303,1.187259
52,0.144444,,,,,,,,-0.003174,0.000744,0.004441,-0.999985,3.317897,0.006661,0.956004,,,,3.303587,-0.000662,0.750581,3.477907,0.011995,0.931510,3.170447,0.007310,1.187447
53,0.147222,,,,,,,,-0.002433,0.000942,0.004457,-0.999987,3.317887,0.006753,0.956005,,,,3.303590,-0.000643,0.750477,3.476991,0.013136,0.931787,3.170383,0.007385,1.187429
54,0.150000,,,,,,,,-0.003942,0.001265,0.005494,-0.999976,3.318047,0.006891,0.955977,,,,3.304663,0.002581,0.748802,3.476937,0.013128,0.931759,3.170470,0.007324,1.187279
55,0.152778,,,,,,,,-0.003790,0.001676,0.005535,-0.999976,3.318194,0.006905,0.956246,3.176513,0.008004,0.943037,3.304745,0.002666,0.748764,3.478261,0.011918,0.932055,3.170441,0.007409,1.187367
56,0.155556,,,,,,,,-0.002575,0.000816,0.003920,-0.999989,3.318001,0.006583,0.956046,3.176587,0.007827,0.942981,3.303654,-0.000648,0.750445,3.476984,0.013246,0.931869,3.170544,0.007349,1.187382
57,0.158333,,,,,,,,-0.004246,0.001240,0.005352,-0.999976,3.317986,0.006926,0.955951,,,,3.304945,0.001999,0.749427,3.476115,0.013760,0.931484,3.170458,0.007152,1.187350
58,0.161111,,,,,,,,-0.002860,0.001168,0.004403,-0.999986,3.317986,0.006747,0.955976,3.176334,0.007139,0.942921,3.304685,0.002861,0.748680,3.478017,0.012077,0.931613,3.170477,0.007419,1.187391
