,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,Unlabeled 1968,Unlabeled 1968,Unlabeled 1968,Unlabeled 1969,Unlabeled 1969,Unlabeled 1969,Unlabeled 1970,Unlabeled 1970,Unlabeled 1970,Unlabeled 1971,Unlabeled 1971,Unlabeled 1971,Unlabeled 1974,Unlabeled 1974,Unlabeled 1974,Unlabeled 1976,Unlabeled 1976,Unlabeled 1976,Unlabeled 1978,Unlabeled 1978,Unlabeled 1978,Unlabeled 1979,Unlabeled 1979,Unlabeled 1979,Unlabeled 1980,Unlabeled 1980,Unlabeled 1980,Unlabeled 1981,Unlabeled 1981,Unlabeled 1981,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker3,radar_group6:Marker3,radar_group6:Marker3
,ID,"46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","112BA0","112BA0","112BA0","112BD0","112BD0","112BD0","112870","112870","112870","112BC0","112BC0","112BC0","112C20","112C20","112C20","112C40","112C40","112C40","112C60","112C60","112C60","112C70","112C70","112C70","112CB0","112CB0","112CB0","112CD0","112CD0","112CD0","112620","112620","112620","112650","112650","112650","18EEFB02AE5111E97C158CA05683D95","18EEFB02AE5111E97C158CA05683D95","18EEFB02AE5111E97C158CA05683D95"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
57,0.158333,0.001358,-0.000089,-0.001260,-0.999998,-5.051281,1.793788,0.666694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954572,1.784765,0.786039,-4.958269,1.783962,0.547485,-5.241321,1.812376,0.665756
58,0.161111,0.002161,-0.000896,-0.001964,-0.999995,-5.051408,1.793847,0.666724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954584,1.784705,0.786028,-4.958149,1.781807,0.548251,-5.240748,1.812700,0.666698
59,0.163889,0.001957,-0.000616,-0.002981,-0.999993,-5.051302,1.794240,0.666528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954303,1.784364,0.786293,-4.958336,1.785120,0.549065,-5.241405,1.812173,0.665769
60,0.166667,-0.001074,-0.000427,-0.002705,-0.999996,-5.051533,1.794104,0.666703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954531,1.784815,0.786051,-4.958539,1.783849,0.547721,-5.241381,1.808277,0.668096
61,0.169444,-0.000749,0.000039,-0.001470,-0.999999,-5.051181,1.793827,0.666735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954329,1.784390,0.786296,-4.958921,1.791069,0.545805,-5.241228,1.812339,0.665828
62,0.172222,0.000262,-0.003262,-0.008406,-0.999959,-5.051276,1.792838,0.667799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954593,1.784803,0.786051,-4.958149,1.784512,0.548208,-5.241186,1.808428,0.668511
63,0.175000,0.001379,-0.001098,-0.002152,-0.999996,-5.051243,1.793672,0.666943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954523,1.784809,0.786029,-4.958350,1.784017,0.547476,-5.240808,1.812658,0.666660
64,0.177778,-0.008296,-0.000756,-0.005786,-0.999949,-5.051506,1.795195,0.666422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954616,1.784746,0.786063,-4.958931,1.790957,0.545908,-5.241710,1.812254,0.666717
65,0.180556,-0.008450,-0.000411,-0.005570,-0.999949,-5.051322,1.795389,0.666137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954352,1.784320,0.786246,-4.958315,1.789090,0.547711,-5.241514,1.812352,0.665677
66,0.183333,0.001179,-0.000989,-0.001909,-0.999997,-5.051261,1.793685,0.666913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954596,1.784711,0.785989,-4.958189,1.782429,0.548572,-5.240783,1.812817,0.666601
